shell_r,count_all,avg_all,count_nz,avg_nz,sum2_all,sum2_nz
2,6,0.0,0,0.0,0.0,0.0
3,30,0.11851851851851845,24,0.14814814814814806,0.5267489711934153,0.5267489711934153
4,6,0.0,0,0.0,0.0,0.0
5,30,0.0,0,0.0,0.0,0.0
6,30,0.11851851851851845,24,0.14814814814814806,0.5267489711934153,0.5267489711934153
7,54,0.0932944606413994,48,0.10495626822157433,0.5287592754719547,0.5287592754719547
8,6,0.0,0,0.0,0.0,0.0
9,102,0.09166464939885428,96,0.09739368998628267,1.185727107995054,1.185727107995054
10,30,0.0,0,0.0,0.0,0.0
11,78,0.10818933132982728,72,0.11720510894064622,1.1763456070663096,1.1763456070663096
12,30,0.11851851851851845,24,0.14814814814814806,0.5267489711934153,0.5267489711934153
13,78,0.04033472217359339,48,0.06554392353208927,0.20620828377505745,0.20620828377505745
14,54,0.0932944606413994,48,0.10495626822157433,0.5287592754719547,0.5287592754719547
15,150,0.05783703703703699,120,0.07229629629629625,0.8133004115226348,0.8133004115226348
16,6,0.0,0,0.0,0.0,0.0
17,102,0.0896540989691215,72,0.1270099735395888,1.5051007000746408,1.5051007000746408
18,102,0.09166464939885428,96,0.09739368998628267,1.185727107995054,1.185727107995054
19,126,0.07298023451981756,120,0.07662924624580844,1.0293978339995393,1.0293978339995393
20,30,0.0,0,0.0,0.0,0.0
21,270,0.09417749463100945,264,0.09631789223625967,2.848860845647897,2.848860845647897
22,78,0.10818933132982728,72,0.11720510894064622,1.1763456070663096,1.1763456070663096
23,150,0.06722445960384651,144,0.07002547875400679,0.8753233075798273,0.8753233075798273
24,30,0.11851851851851845,24,0.14814814814814806,0.5267489711934153,0.5267489711934153
25,150,0.10321919999999983,96,0.16127999999999973,2.548039679999997,2.548039679999997
26,78,0.04033472217359339,48,0.06554392353208927,0.20620828377505745,0.20620828377505745
27,318,0.06631908197764746,312,0.06759444893875607,2.188119276262638,2.188119276262638
28,54,0.0932944606413994,48,0.10495626822157433,0.5287592754719547,0.5287592754719547
29,174,0.09446881790971332,144,0.11414982164090359,2.2288582999253332,2.2288582999253332
30,150,0.05783703703703699,120,0.07229629629629625,0.8133004115226348,0.8133004115226348
31,198,0.091400392430905,192,0.09425665469437078,2.2522356794596794,2.2522356794596794
32,6,0.0,0,0.0,0.0,0.0
33,390,0.08070191210687068,384,0.08196287948354054,3.762748615254268,3.762748615254268
34,102,0.0896540989691215,72,0.1270099735395888,1.5051007000746408,1.5051007000746408
35,270,0.07090379008746352,240,0.07976676384839647,2.1700280665368976,2.1700280665368976
36,102,0.09166464939885428,96,0.09739368998628267,1.185727107995054,1.185727107995054
37,222,0.06454087989238917,192,0.07462539237557497,1.524185781571382,1.524185781571382
38,126,0.07298023451981756,120,0.07662924624580844,1.0293978339995393,1.0293978339995393
39,390,0.08708067333465602,360,0.09433739611254403,4.3361348152455115,4.3361348152455115
40,30,0.0,0,0.0,0.0,0.0
41,246,0.0778664579205389,216,0.08868124374283595,2.311834281280562,2.311834281280562
42,270,0.09417749463100945,264,0.09631789223625967,2.848860845647897,2.848860845647897
43,270,0.059768322286088124,264,0.061126693247135586,1.8652618969361767,1.8652618969361767
44,78,0.10818933132982728,72,0.11720510894064622,1.1763456070663096,1.1763456070663096
45,510,0.0781137739046237,480,0.0829958847736627,4.527717387254662,4.527717387254662
46,150,0.06722445960384651,144,0.07002547875400679,0.8753233075798273,0.8753233075798273
47,294,0.08140699428206592,288,0.08310297332960898,2.721226778825402,2.721226778825402
48,30,0.11851851851851845,24,0.14814814814814806,0.5267489711934153,0.5267489711934153
49,390,0.09275883870993042,384,0.09420819556477307,4.1842360253760065,4.1842360253760065
50,150,0.10321919999999983,96,0.16127999999999973,2.548039679999997,2.548039679999997
51,510,0.06879298929920925,480,0.07309255113040984,4.729116878121928,4.729116878121928
52,78,0.04033472217359339,48,0.06554392353208927,0.20620828377505745,0.20620828377505745
53,318,0.08248926776453819,288,0.09108189982334425,3.049657935755251,3.049657935755251
54,318,0.06631908197764746,312,0.06759444893875607,2.188119276262638,2.188119276262638
